TaskId,Phase,Category,Title,EstimateHours,DependsOn,Status,Assignee,Description,Notes
T001,1,Migration,Create AppUser table,1,,NotStarted,,"Create AppUser table per data model spec: Id, AdAccount, DisplayName, ClockNumber, PinHash, IgnitionRole, CreatedAt, DeprecatedAt.",
T002,1,Migration,Create Audit schema tables,2,,NotStarted,,"Create LogSeverity, LogEventType, LogEntityType, ConfigLog, OperationLog, InterfaceLog tables in Audit schema per data model spec.",
T003,1,Seed,Seed audit lookup tables,1,T002,NotStarted,,"Insert seed rows for LogSeverity (Info/Warning/Error/Critical), LogEventType (initial set), LogEntityType (one row per entity table).",
T004,1,Seed,Insert bootstrap AppUser row,0.5,T001,NotStarted,,"Direct INSERT of Id=1 system.bootstrap user via migration script (not via AppUser_Create). Breaks chicken-and-egg with @AppUserId attribution.",
T005,1,StoredProc,Write Audit_LogConfigChange proc,2,"T002,T003",NotStarted,,"Shared proc called by every Create/Update/Deprecate in all later phases. Writes to Audit.ConfigLog.",Critical cross-cutting dependency for all later phases
T006,1,StoredProc,Write Audit_LogOperation proc,2,"T002,T003",NotStarted,,"Shared proc for Plant Floor mutations. Writes to Audit.OperationLog. Not used by Configuration Tool directly but defined here for the future Arc 2 build.",
T007,1,StoredProc,Write Audit_LogInterfaceCall proc,2,"T002,T003",NotStarted,,"Shared proc for external system calls (AIM/Zebra/Macola). Writes to Audit.InterfaceLog. Supports FRS 3.17.4 high-fidelity toggle.",
T008,1,StoredProc,Write AppUser CRUD procs,8,"T001,T004,T005",NotStarted,,"8 procs: _List, _Get, _GetByAdAccount, _GetByClockNumber, _Create, _Update, _SetPin, _Deprecate. All mutating procs call Audit_LogConfigChange.",
T009,1,StoredProc,Write audit lookup List procs,1,T003,NotStarted,,"Read-only procs: LogSeverity_List, LogEventType_List, LogEntityType_List.",
T010,1,StoredProc,Write ConfigLog read procs,3,T002,NotStarted,,"ConfigLog_List (paged/filterable) and ConfigLog_GetByEntity for audit history per entity.",
T011,1,NamedQuery,Configure Phase 1 Named Queries,2,"T005,T006,T007,T008,T009,T010",NotStarted,,"Configure Ignition Named Queries wrapping all Phase 1 stored procs.",
T012,1,Frontend,Build User Management Perspective view,8,T011,NotStarted,,"Admin-only view. List with active/deprecated filter. Add/Edit/Deprecate modals. Role dropdown.",
T013,1,Frontend,Build PIN Reset flow,4,T011,NotStarted,,"Self-service or admin. Hash client-side before calling AppUser_SetPin.",
T014,1,Frontend,Build Audit Log Browser,6,T011,NotStarted,,"Filterable view of Audit.ConfigLog. Entity/user/date filters. Row expansion shows old/new diff.",
T015,1,Testing,Phase 1 integration testing,4,"T012,T013,T014",NotStarted,,"End-to-end: create admin user, change a user, verify audit log entries, reset a PIN. Gate for Phase 2.",
T016,2,Migration,Create Location schema tables,3,T015,NotStarted,,"LocationType, LocationTypeDefinition, LocationAttributeDefinition, Location, LocationAttribute per data model spec.",
T017,2,Seed,Seed LocationType and initial definitions,2,T016,NotStarted,,"5 LocationType rows. ~15 LocationTypeDefinition rows. ~20 LocationAttributeDefinition rows covering Terminal, DieCastMachine, CNCMachine, etc.",
T018,2,Seed,Seed plant root hierarchy,1,T017,NotStarted,,"1 Enterprise (MPP Inc.), 1 Site (Madison), 5 Areas (Die Cast, Trim Shop, Machine Shop, Production Control, Quality Control).",
T019,2,StoredProc,Write LocationType procs,1,T016,NotStarted,,"Read-only: LocationType_List, LocationType_Get.",
T020,2,StoredProc,Write LocationTypeDefinition CRUD procs,5,"T016,T005",NotStarted,,"5 procs: _List, _Get, _Create, _Update, _Deprecate. Mutating procs call Audit_LogConfigChange.",
T021,2,StoredProc,Write LocationAttributeDefinition CRUD procs,5,"T016,T005",NotStarted,,"5 procs scoped to parent definition. _ListByDefinition, _Get, _Create, _Update, _Deprecate.",
T022,2,StoredProc,Write Location CRUD and tree query procs,10,"T016,T005",NotStarted,,"8 procs including recursive CTEs: _List, _GetTree, _GetAncestors, _GetDescendantsOfType, _Get, _Create, _Update, _Deprecate.",Recursive CTE queries may need performance tuning
T023,2,StoredProc,Write LocationAttribute procs,4,"T016,T005",NotStarted,,"3 procs: _GetByLocation, _Set (upsert), _Clear. _Set validates definition belongs to location kind.",
T024,2,StoredProc,Write Location_BulkLoadMachinesFromSeed proc,4,"T022,T023",NotStarted,,"Accepts CSV blob. Parses machines.csv rows. Maps MachDesc patterns to LocationTypeDefinitions. Calls Location_Create per row.",
T025,2,NamedQuery,Configure Phase 2 Named Queries,3,"T019,T020,T021,T022,T023,T024",NotStarted,,"Configure Ignition Named Queries wrapping all Phase 2 stored procs.",
T026,2,Frontend,Build Plant Hierarchy Browser view,12,T025,NotStarted,,"Tree component showing Enterprise->Site->Area->WorkCenter->Cell. Click node to load details.",
T027,2,Frontend,Build Location Details Panel,10,T025,NotStarted,,"Right drawer. Dynamic attribute form rendered from LocationAttributeDefinition set. Save calls _Update and _Set per changed attribute.",
T028,2,Frontend,Build Add Location Modal,4,T025,NotStarted,,"Triggered from tree context menu. Dropdown filtered to valid child kinds. Calls Location_Create.",
T029,2,Frontend,Build Location Type Definition Editor,8,T025,NotStarted,,"Engineering only. List of definitions grouped by LocationType. Embedded sub-table for LocationAttributeDefinition rows.",
T030,2,Frontend,Build Bulk Seed Loader screen,6,T025,NotStarted,,"One-time-use. Upload CSV, preview, map process patterns to definitions, trigger bulk load.",
T031,2,DataLoad,Load machines.csv seed data,2,"T026,T027,T028,T029,T030",NotStarted,,"Run the bulk loader or call Location_BulkLoadMachinesFromSeed with machines.csv (209 rows).",Review ~35 partial rows from parse_warnings.md with MPP first
T032,2,Testing,Phase 2 integration testing,4,T031,NotStarted,,"Verify tree navigation, attribute editing, audit trail. Gate for Phase 3.",
T033,3,Migration,Create reference lookup tables,2,T032,NotStarted,,"Uom, ItemType, LotOriginType, LotStatusCode, ContainerStatusCode, GenealogyRelationshipType, OperationStatus, WorkOrderStatus.",
T034,3,Seed,Seed reference lookup data,1,T033,NotStarted,,"Seed all fixed-value rows per data model spec. UOMs (EA/LB/KG/etc), ItemTypes (Raw Material/Component/etc), status codes.",
T035,3,StoredProc,Write read-only lookup procs,3,T033,NotStarted,,"_List and _Get for 6 fixed tables: LotOriginType, LotStatusCode, ContainerStatusCode, GenealogyRelationshipType, OperationStatus, WorkOrderStatus.",
T036,3,StoredProc,Write mutable lookup CRUD procs,4,"T033,T005",NotStarted,,"Uom and ItemType full CRUD (5 procs each). Mutating procs call Audit_LogConfigChange.",
T037,3,NamedQuery,Configure Phase 3 Named Queries,2,"T035,T036",NotStarted,,"Ignition Named Queries for all Phase 3 procs.",
T038,3,Frontend,Build Reference Data Manager view,8,T037,NotStarted,,"Single tabbed view with grid per lookup table. Read-only tables show disabled Add button.",
T039,3,Testing,Phase 3 integration testing,2,T038,NotStarted,,"Verify lookups load, CRUD works for Uom/ItemType, audit entries recorded. Gate for Phases 4-8.",
T040,4,Migration,Create Item and ContainerConfig tables,2,T039,NotStarted,,"Item (with ItemType/Uom FKs) and ContainerConfig (one per finished good).",
T041,4,StoredProc,Write Item CRUD procs,6,"T040,T005",NotStarted,,"6 procs: _List, _Get, _GetByPartNumber, _Create, _Update, _Deprecate. Mutating procs call Audit_LogConfigChange.",
T042,4,StoredProc,Write ContainerConfig procs,4,"T040,T005",NotStarted,,"4 procs: _GetByItem, _Create, _Update, _Deprecate.",Note OI-02 may add ClosureMethod and TargetWeight fields
T043,4,NamedQuery,Configure Phase 4 Named Queries,2,"T041,T042",NotStarted,,"Ignition Named Queries for Phase 4 procs.",
T044,4,Frontend,Build Item Master List view,6,T043,NotStarted,,"Filterable/searchable table. Columns: PartNumber/Desc/Type/Uom/Macola/Weight/SubLotQty.",
T045,4,Frontend,Build Item Editor form,10,T043,NotStarted,,"Form with tabs for Container Config, BOM (Phase 6 link), Routes (Phase 5 link), Quality Specs (Phase 7 link), Audit History.",
T046,4,Frontend,Build Container Config sub-tab,4,T045,NotStarted,,"Embedded in Item Editor. Enabled only for finished goods.",
T047,4,Frontend,Build reusable Item Picker component,6,T043,NotStarted,,"Modal or inline picker used throughout BOMs/routes/eligibility. Searchable by part number or description.",
T048,4,DataLoad,Load initial item master,4,"T044,T045,T046",NotStarted,,"Manual entry or bulk load if MPP has an Excel export. Create ContainerConfig rows for finished goods.",Confirm with MPP whether there is an existing item master export
T049,4,Testing,Phase 4 integration testing,3,T048,NotStarted,,"Verify item CRUD, container config linkage, search/filter. Gate for Phases 5-7.",
T050,5,Migration,Create Routes and Operations tables,2,T049,NotStarted,,"RouteTemplate, RouteStep, OperationTemplate, ItemLocation tables.",
T051,5,StoredProc,Write OperationTemplate procs,8,"T050,T005",NotStarted,,"5 versioned procs. _List, _Get, _Create, _CreateNewVersion, _Deprecate.",
T052,5,StoredProc,Write RouteTemplate procs,8,"T050,T005",NotStarted,,"6 versioned procs. _ListByItem, _Get, _GetActiveForItem, _Create, _CreateNewVersion, _Deprecate.",
T053,5,StoredProc,Write RouteStep procs,5,"T050,T005",NotStarted,,"5 procs including _Reorder (drag-drop support via comma-delimited StepIds).",
T054,5,StoredProc,Write ItemLocation eligibility procs,3,"T050,T005",NotStarted,,"4 procs: _ListByItem, _ListByLocation, _Add, _Remove.",
T055,5,NamedQuery,Configure Phase 5 Named Queries,2,"T051,T052,T053,T054",NotStarted,,"Ignition Named Queries for Phase 5 procs.",
T056,5,Frontend,Build Operation Template Library view,6,T055,NotStarted,,"List grouped by Area. Add/edit with data collection flag toggles. Version history per template.",
T057,5,Frontend,Build Route Builder view,16,T055,NotStarted,,"Master-detail per item. Ordered step list with drag-drop reorder. New Version button preserves old.",High complexity due to drag-drop and versioning
T058,5,Frontend,Build Eligibility Map Editor,12,T055,NotStarted,,"Items on left, Locations on right, matrix in center. Click to toggle. Filter by area or part type.",
T059,5,Frontend,Build Operation Template Editor,6,T055,NotStarted,,"Form with data collection flag switches. Area dropdown filtered to Area-tier locations.",
T060,5,DataLoad,Populate routes for all active items,12,"T056,T057,T059",NotStarted,,"Create a RouteTemplate and RouteStep rows for every MPP item. Data entry task.",Engineering work with MPP input
T061,5,DataLoad,Populate eligibility map,8,T058,NotStarted,,"Create ItemLocation rows for every item-cell combination MPP runs.",
T062,5,Testing,Phase 5 integration testing,4,"T060,T061",NotStarted,,"Verify route versioning, step reorder, eligibility validation. Operators should see routes and eligible cells.",
T063,6,Migration,Create Bom and BomLine tables,1,T049,NotStarted,,"Bom header (versioned) and BomLine (child item/qty).",
T064,6,StoredProc,Write Bom procs,8,"T063,T005",NotStarted,,"6 versioned procs. _ListByParentItem, _Get, _GetActiveForItem, _Create, _CreateNewVersion (copies lines), _Deprecate.",
T065,6,StoredProc,Write BomLine procs,4,"T063,T005",NotStarted,,"4 procs: _ListByBom, _Add, _Update, _Remove.",
T066,6,NamedQuery,Configure Phase 6 Named Queries,1,"T064,T065",NotStarted,,"Ignition Named Queries for Phase 6 procs.",
T067,6,Frontend,Build BOM Editor view,12,T066,NotStarted,,"Master-detail tied to Item. Version selector. Editable grid for BomLine. New Version button.",
T068,6,Frontend,Build BOM Comparison view,6,T067,NotStarted,,"Side-by-side diff of two versions. Line-level added/removed/changed.",
T069,6,Frontend,Build Where-Used Report view,4,T066,NotStarted,,"""Show me every BOM using this child item."" Useful for deprecation impact.",
T070,6,DataLoad,Populate BOMs for assembled products,12,T067,NotStarted,,"Create Bom+BomLine rows for every MPP assembled product. Data entry.",Engineering work with MPP input
T071,6,Testing,Phase 6 integration testing,3,T070,NotStarted,,"Verify BOM versioning, comparison, where-used. Verify active version query works as-of a date.",
T072,7,Migration,Create Quality and DefectCode tables,2,T049,NotStarted,,"QualitySpec, QualitySpecVersion, QualitySpecAttribute, DefectCode tables.",
T073,7,StoredProc,Write QualitySpec procs,4,"T072,T005",NotStarted,,"4 procs: _List, _Get, _Create, _Deprecate.",
T074,7,StoredProc,Write QualitySpecVersion procs,6,"T072,T005",NotStarted,,"5 versioned procs. _ListBySpec, _GetActive, _Create, _CreateNewVersion (copies attributes), _Deprecate.",
T075,7,StoredProc,Write QualitySpecAttribute procs,4,"T072,T005",NotStarted,,"4 procs: _ListByVersion, _Add, _Update, _Remove.",
T076,7,StoredProc,Write DefectCode procs,6,"T072,T005",NotStarted,,"6 procs: _List, _Get, _Create, _Update, _Deprecate, _BulkLoadFromSeed.",
T077,7,NamedQuery,Configure Phase 7 Named Queries,2,"T073,T074,T075,T076",NotStarted,,"Ignition Named Queries for Phase 7 procs.",
T078,7,Frontend,Build Quality Spec Library view,6,T077,NotStarted,,"List of specs filterable by item or operation. Click to open editor.",
T079,7,Frontend,Build Quality Spec Editor view,12,T077,NotStarted,,"Master-detail with version selector. Editable attribute grid. New Version button.",
T080,7,Frontend,Build Defect Code Manager view,6,T077,NotStarted,,"List grouped by area. Add/edit/deprecate. Bulk-load button (one-time).",
T081,7,DataLoad,Load defect_codes.csv,1,T080,NotStarted,,"Run _BulkLoadFromSeed with reference/seed_data/defect_codes.csv (153 rows).",
T082,7,DataLoad,Create quality specs for high-volume items,8,T079,NotStarted,,"Engineering creates QualitySpec + QualitySpecVersion + attributes for top items.",Engineering work with MPP input
T083,7,Testing,Phase 7 integration testing,3,"T081,T082",NotStarted,,"Verify spec versioning, defect code CRUD, bulk load.",
T084,8,Migration,Create Downtime and Shift tables,2,T039,NotStarted,,"DowntimeReasonType, DowntimeReasonCode, ShiftSchedule tables.",
T085,8,Seed,Seed DowntimeReasonType rows,0.5,T084,NotStarted,,"6 fixed rows: Equipment, Miscellaneous, Mold, Quality, Setup, Unscheduled.",
T086,8,StoredProc,Write DowntimeReasonType_List proc,0.5,T084,NotStarted,,"Single read-only proc.",
T087,8,StoredProc,Write DowntimeReasonCode procs,6,"T084,T005",NotStarted,,"6 procs: _List, _Get, _Create, _Update, _Deprecate, _BulkLoadFromSeed.",
T088,8,StoredProc,Write ShiftSchedule procs,5,"T084,T005",NotStarted,,"5 procs: _List, _Get, _Create, _Update, _Deprecate.",
T089,8,NamedQuery,Configure Phase 8 Named Queries,2,"T086,T087,T088",NotStarted,,"Ignition Named Queries for Phase 8 procs.",
T090,8,Frontend,Build Downtime Reason Code Manager view,8,T089,NotStarted,,"List grouped by area with type filter. Add/edit/deprecate. Bulk-load button. Flag untyped rows.",
T091,8,Frontend,Build Shift Schedule Editor,6,T089,NotStarted,,"List of schedules with start/end, days-of-week, effective date. Calendar preview for next 2 weeks.",
T092,8,Frontend,Build OPC Tag Reference view,4,,NotStarted,,"Read-only browser of opc_tags.csv. Loads CSV directly. Not a SQL table.",No Phase 8 proc dependency — reads CSV file
T093,8,DataLoad,Load downtime_reason_codes.csv,1,T090,NotStarted,,"Run _BulkLoadFromSeed with reference/seed_data/downtime_reason_codes.csv (353 rows).",
T094,8,DataLoad,Engineering review of untyped downtime codes,4,T093,NotStarted,,"Per parse_warnings.md: ~25 rows have empty TypeId. Engineering assigns types before go-live.",Blocks go-live
T095,8,DataLoad,Configure standard shift schedules,1,T091,NotStarted,,"Create First Shift, Second Shift, Weekend OT schedule rows.",
T096,8,Testing,Phase 8 integration testing,3,"T093,T094,T095",NotStarted,,"Verify downtime code CRUD, bulk load, shift schedule editor.",
T097,Final,Testing,End-to-end cross-phase testing,8,"T015,T032,T039,T049,T062,T071,T083,T096",NotStarted,,"Full Configuration Tool walkthrough. Create an item, build a BOM, define a route, run the eligibility map, verify everything links.",
T098,Final,Deployment,Ignition project packaging,4,T097,NotStarted,,"Package the Ignition project with all Named Queries, Perspective views, roles, and session config.",
T099,Final,Testing,Engineering user acceptance testing,8,T098,NotStarted,,"MPP engineering does a UAT pass. Any gaps get fed back into a remediation list.",
T100,Final,Documentation,Configuration Tool handoff documentation,4,T098,NotStarted,,"Short operator guide for engineering users plus admin runbook (user management, PIN resets, audit log queries).",
